"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 22:15:33 CEST 2024","Wed Oct 02 22:15:40 CEST 2024","6680","tests","test_order_list","TestOrderList","","","Получение счетчика ""заказов за сегодня"" после создания заказа",""
"passed","Wed Oct 02 22:16:24 CEST 2024","Wed Oct 02 22:16:25 CEST 2024","1491","tests","test_recover_password","TestRecoverPassword","","","Активация поля пароля при восстановлении пароля",""
"passed","Wed Oct 02 22:16:04 CEST 2024","Wed Oct 02 22:16:10 CEST 2024","5502","tests","test_profile","TestProfile","","","Выход из профиля",""
"passed","Wed Oct 02 22:16:13 CEST 2024","Wed Oct 02 22:16:18 CEST 2024","5428","tests","test_profile","TestProfile","","","Выход из профиля",""
"passed","Wed Oct 02 22:13:58 CEST 2024","Wed Oct 02 22:13:58 CEST 2024","265","tests","test_main_page","TestMainPage","","","Переход на страницу ""Конструктор""",""
"passed","Wed Oct 02 22:15:13 CEST 2024","Wed Oct 02 22:15:18 CEST 2024","4624","tests","test_order_list","TestOrderList","","","Получение счетчика ""заказов за все время"" после создания заказа ",""
"passed","Wed Oct 02 22:14:00 CEST 2024","Wed Oct 02 22:14:00 CEST 2024","270","tests","test_main_page","TestMainPage","","","Переход на страницу ""Конструктор""",""
"passed","Wed Oct 02 22:14:09 CEST 2024","Wed Oct 02 22:14:10 CEST 2024","603","tests","test_order_list","TestOrderList","","","Отображение попапа о заказе при его раскрытии",""
"passed","Wed Oct 02 22:14:25 CEST 2024","Wed Oct 02 22:14:32 CEST 2024","6943","tests","test_order_list","TestOrderList","","","Отображение айдишника заказа в списке заказов",""
"passed","Wed Oct 02 22:14:02 CEST 2024","Wed Oct 02 22:14:03 CEST 2024","772","tests","test_main_page","TestMainPage","","","Переход на страницу ""Лента заказов""",""
"passed","Wed Oct 02 22:15:23 CEST 2024","Wed Oct 02 22:15:30 CEST 2024","7235","tests","test_order_list","TestOrderList","","","Получение счетчика ""заказов за сегодня"" после создания заказа",""
"passed","Wed Oct 02 22:13:37 CEST 2024","Wed Oct 02 22:13:43 CEST 2024","6466","tests","test_constructor","TestConstructor","","","Закрытие попапа с ингредиентом",""
"passed","Wed Oct 02 22:13:28 CEST 2024","Wed Oct 02 22:13:35 CEST 2024","6488","tests","test_constructor","TestConstructor","","","Закрытие попапа с ингредиентом",""
"passed","Wed Oct 02 22:14:37 CEST 2024","Wed Oct 02 22:14:47 CEST 2024","9316","tests","test_order_list","TestOrderList","","","Отображение заказа в статусе ""в работе""",""
"passed","Wed Oct 02 22:15:05 CEST 2024","Wed Oct 02 22:15:10 CEST 2024","5367","tests","test_order_list","TestOrderList","","","Получение счетчика ""заказов за все время"" после создания заказа ",""
"passed","Wed Oct 02 22:16:21 CEST 2024","Wed Oct 02 22:16:22 CEST 2024","1481","tests","test_recover_password","TestRecoverPassword","","","Активация поля пароля при восстановлении пароля",""
"passed","Wed Oct 02 22:14:15 CEST 2024","Wed Oct 02 22:14:22 CEST 2024","7313","tests","test_order_list","TestOrderList","","","Отображение айдишника заказа в списке заказов",""
"passed","Wed Oct 02 22:15:54 CEST 2024","Wed Oct 02 22:15:59 CEST 2024","5420","tests","test_profile","TestProfile","","","Переход в историю заказов",""
"passed","Wed Oct 02 22:14:07 CEST 2024","Wed Oct 02 22:14:08 CEST 2024","592","tests","test_order_list","TestOrderList","","","Отображение попапа о заказе при его раскрытии",""
"passed","Wed Oct 02 22:13:45 CEST 2024","Wed Oct 02 22:13:45 CEST 2024","73","tests","test_constructor","TestConstructor","","","Получение счетчика добавленного ингредиента",""
"passed","Wed Oct 02 22:16:29 CEST 2024","Wed Oct 02 22:16:30 CEST 2024","272","tests","test_recover_password","TestRecoverPassword","","","Отображение пароля",""
"passed","Wed Oct 02 22:14:05 CEST 2024","Wed Oct 02 22:14:05 CEST 2024","751","tests","test_main_page","TestMainPage","","","Переход на страницу ""Лента заказов""",""
"passed","Wed Oct 02 22:13:47 CEST 2024","Wed Oct 02 22:13:47 CEST 2024","81","tests","test_constructor","TestConstructor","","","Получение счетчика добавленного ингредиента",""
"passed","Wed Oct 02 22:16:27 CEST 2024","Wed Oct 02 22:16:27 CEST 2024","216","tests","test_recover_password","TestRecoverPassword","","","Отображение пароля",""
"passed","Wed Oct 02 22:13:52 CEST 2024","Wed Oct 02 22:13:52 CEST 2024","280","tests","test_constructor","TestConstructor","","","Создание заказа",""
"passed","Wed Oct 02 22:15:45 CEST 2024","Wed Oct 02 22:15:51 CEST 2024","5500","tests","test_profile","TestProfile","","","Переход в историю заказов",""
"passed","Wed Oct 02 22:13:24 CEST 2024","Wed Oct 02 22:13:25 CEST 2024","275","tests","test_constructor","TestConstructor","","","Отображение попапа ингредиента",""
"passed","Wed Oct 02 22:13:26 CEST 2024","Wed Oct 02 22:13:27 CEST 2024","317","tests","test_constructor","TestConstructor","","","Отображение попапа ингредиента",""
"passed","Wed Oct 02 22:13:55 CEST 2024","Wed Oct 02 22:13:56 CEST 2024","621","tests","test_constructor","TestConstructor","","","Создание заказа",""
"passed","Wed Oct 02 22:14:49 CEST 2024","Wed Oct 02 22:15:00 CEST 2024","10016","tests","test_order_list","TestOrderList","","","Отображение заказа в статусе ""в работе""",""
